id,x_coord,y_coord,demand,ready_time,due_time,service_time
1,35.00,35.00,0.00,0.00,230.00,0.00
2,41.00,49.00,10.00,151.00,181.00,10.00
3,35.00,17.00,7.00,40.00,70.00,10.00
4,55.00,45.00,13.00,106.00,136.00,10.00
5,55.00,20.00,19.00,139.00,169.00,10.00
6,15.00,30.00,26.00,24.00,54.00,10.00
7,25.00,30.00,3.00,89.00,119.00,10.00
8,20.00,50.00,5.00,71.00,101.00,10.00
9,10.00,43.00,9.00,85.00,115.00,10.00
10,55.00,60.00,16.00,87.00,117.00,10.00
11,30.00,60.00,16.00,114.00,144.00,10.00
12,20.00,65.00,12.00,57.00,87.00,10.00
13,50.00,35.00,19.00,53.00,83.00,10.00
14,30.00,25.00,23.00,149.00,179.00,10.00
15,15.00,10.00,20.00,32.00,62.00,10.00
